Owner ID,URL,Sort Index,Image,Video,GIF,Link,Long Text,Folder,Post ID,User ID,Username,Screen Name,Content,Language,Created At,Sensitive,Post Type,Views Count,Bookmark Count,Favorite Count,Quote Count,Reply Count,Retweet Count,Avatar,Media,Quoted Post
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1846119971392573585","1728984275",false,false,false,false,false,"unsorted","1846119971392573585","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@kiyoshi_staba ありがとうございます、そのうち飲みにいきますよ　グッパイ","ja","2024-10-15T09:24:35.000Z",,"reply","2785",0,5,1,1,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1846119722737455471","1728984215",false,false,false,false,false,"unsorted","1846119722737455471","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@matahikoushiki サンキュー","ja","2024-10-15T09:23:35.000Z",,"reply","647",0,2,0,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1846119658300309875","1728984200",false,false,false,false,false,"unsorted","1846119658300309875","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@SsA202186keigww サンキュー","ja","2024-10-15T09:23:20.000Z",,"reply","756",0,0,0,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1846119567480791219","1728984178",false,false,false,false,false,"unsorted","1846119567480791219","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@YJ114514kusai ありがとうよ　グッパイ","ja","2024-10-15T09:22:58.000Z",,"reply","941",0,3,0,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1846119506177061346","1728984164",false,false,false,false,false,"unsorted","1846119506177061346","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@akanon679 サンキュー","ja","2024-10-15T09:22:44.000Z",,"reply","483",0,0,0,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1846117264179056728","1728983629",false,false,false,false,false,"unsorted","1846117264179056728","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@dGBAsbeMHyXnyri サンキュー","ja","2024-10-15T09:13:49.000Z",,"reply","992",0,1,0,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1846117166661431681","1728983606",false,false,false,false,false,"unsorted","1846117166661431681","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@Tenmegdesuyo サンキュー","ja","2024-10-15T09:13:26.000Z",,"reply","563",0,0,0,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1846117072339980567","1728983583",false,false,false,false,false,"unsorted","1846117072339980567","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@6Hbk2 サンキュー","ja","2024-10-15T09:13:03.000Z",,"reply","282",0,1,0,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1846117027028914661","1728983573",false,false,false,false,false,"unsorted","1846117027028914661","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@rapin_HE21S いい事言うねー　グッパイ","ja","2024-10-15T09:12:53.000Z",,"reply","313",0,6,0,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1846116806735679937","1728983520",false,false,false,false,false,"unsorted","1846116806735679937","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@rnlxf サンキュー　グッパイ","ja","2024-10-15T09:12:00.000Z",,"reply","184",0,0,0,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1846116741950447929","1728983505",false,false,false,false,false,"unsorted","1846116741950447929","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@Syui39190 サンキュー","ja","2024-10-15T09:11:45.000Z",,"reply","667",0,0,0,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
"1910278629000712192","https://x.com/hlfDhlqMKDrttrM/status/1846116697952211139","1728983494",false,false,false,false,false,"unsorted","1846116697952211139","1570085416568750080","勝彦","hlfDhlqMKDrttrM","@lamaid_rua サンキュー","ja","2024-10-15T09:11:34.000Z",,"reply","943",0,0,1,0,0,"https://pbs.twimg.com/profile_images/1875257285431455745/4Kfv7t7Z_normal.jpg",,
